identifier,title
HR 2495,For the relief of Irida Kakhtiranova.
S 2520,State and Local Government Cybersecurity Act of 2021
S 4451,ENSURE Act
HR 4539,Focusing State Efforts to Expand Opportunity Act
HR 4499,Maintaining and Enhancing Hydroelectricity and River Restoration Act of 2021
HRES 537,MEMBERS Resolution
HR 7005,Protecting Americans’ Savings Act of 2022
HR 4534,FAIR Transition and Competition Act
HR 8165,Commercial Vehicle Fleet Retreaded Tire Utilization Reinvestment and Recovery Act of 2022
HRES 1194,Commending the Florida Everblades hockey team for winning the 2022 East Coast Hockey League's Patrick J. Kelly Cup.
HR 4504,Tribal Biochar Promotion Act of 2021
S 3808,Restoring Offshore Wind Opportunities Act
HR 4537,Improving Transparency in TANF through Data Act
S 3794,Emergency Grant Aid for College Students Act
S 3791,Access to Prescription Digital Therapeutics Act of 2022
HR 4519,Presidential Allowance Modernization Act of 2021
HR 4540,Improving Access to Child Care Act
HR 4529,Religious Freedom Peace Tax Fund Act
HR 4544,WORK Act
HR 4536,Welfare for Needs not Weed Act
HR 4532,Accelerating Individuals into the Workforce Act
S 3792,Hospital Inpatient Services Modernization Act
HR 4525,Supporting Work Through Apprenticeships Act
HR 4507,Protecting Family Resources and Training Options Act
HR 4518,Wildfire Prevention and Drought Mitigation Act of 2021
HR 4500,Local Law Enforcement Protection Act of 2021
HR 4530,Federal Trade Commission Technologists Act of 2021
S 1497,Protecting LGBTQ Youth Act
S 1496,Child Welfare Workforce Support Act
HR 7004,PIGS Act of 2022
HR 7044,Not a Red Cent from Russia Act
HR 5675,"Liver Illness Visibility, Education, and Research Act of 2021"
S 1443,Retirement Parity for Student Loans Act
S 3818,Affordable College Textbook Act
S 3801,National Debt is National Security Act
S 4444,Safeguarding Awards for Victims and Enforcement Settlements Act of 2022
HR 2933,To amend the Internal Revenue Code of 1986 to increase the age for the beginning date for required minimum distributions.
HR 7020,Fair Social Security for Domestic Violence Survivors Act
S 3812,Emergency Relief from Duties Act
HR 2950,CAMS Act
HR 2949,"To amend section 1908 of title 41, United States Code, to exempt certain contracts from the periodic inflation adjustments to an acquisition-related dollar threshold."
HR 2913,Encouraging Americans to Save Act
S 4455,Stop Supreme Court Leakers Act of 2022
HRES 360,"Expressing the sense of the House of Representatives that public servants should be commended for their dedication and continued service to the United States during ""Public Service Recognition Week"", the week of May 2 through 8, 2021."
S 4443,Informing Grandfamilies Act
HR 2802,American Border Rescue Plan Act
S 2280,VETS Safe Travel Act
S 3790,Ultrasound Informed Consent Act
S 3813,Veterans Member Business Loan Act
HR 7042,SAFE SEAS Act of 2022
S 3803,Rural Prosperity Act of 2022
HR 7032,Increasing Transparency in Generic Drug Applications Act of 2022
HR 2927,SAVE Act of 2021
S 3806,Hydrogen for Trucks Act of 2022
HR 2912,Truth in Tuition Act of 2021
HR 2906,Carrie’s Law
HRES 747,"Supporting the designation of October 2021 as ""Down Syndrome Awareness Month"" and supporting the goals and ideals of ""Down Syndrome Awareness Month""."
HR 5956,National Security Council Membership Act of 2021
S 1139,Selective Service Repeal Act of 2021
S 1311,SECURE CAMPUS Act of 2021
S 3127,SERVE Act of 2021
S 2389,Zero Food Waste Act
HR 1689,Offshore Wind for Territories Act
