identifier,title
HR 6127,"To amend title 4, United States Code, to ensure that a funeral honors detail recites the 13 Folds of Honor when presenting a flag of the United States in connection with the death of a member of the Armed Forces or veteran."
S 231,PFAS Act
HRES 919,Declaring unconditional war on racism and invidious discrimination and providing for the establishment of a Cabinet-level Department of Reconciliation charged with eliminating racism and invidious discrimination.
HR 6652,For the relief of Reverend Olusegun Samson Olaoye.
HR 5994,BE HEARD in the Workplace Act
HJRES 69,Proposing an amendment to the Constitution of the United States to limit the number of terms that a Member of Congress may serve.
HR 4169,Black Farmers and Socially Disadvantaged Farmers Increased Market Share Act
HR 3486,Recognizing Military Service in PSLF Act
S 3499,"A bill to amend the Post-Katrina Emergency Management Reform Act of 2006 to repeal certain obsolete requirements, and for other purposes."
S 5309,"A bill to prohibit a Federal law enforcement officer from using lethal force or less lethal force unless such force is necessary, to encourage States to adopt similar laws or policies, and for other purposes."
HR 6465,PRENDA Act of 2022
HJRES 104,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Labor relating to ""Prudence and Loyalty in Selecting Plan Investments and Exercising Shareholder Rights""."
HR 7792,Water Data Act
HR 7240,READ Act Reauthorization Act of 2022
S 190,Ethan's Law
HR 7865,Flood Insurance for Farmers Act of 2022
HR 7874,SSBCI Improvement Act
HR 7805,Ensuring Full Participation in the Census Act of 2022
HR 8454,Medical Marijuana and Cannabidiol Research Expansion Act
S 5294,"A bill to amend the Comprehensive Environmental Response, Compensation, and Liability Act of 1980 to establish within the Environmental Protection Agency the Office of Mountains, Deserts, and Plains, and for other purposes."
HR 2566,No TikTok on Government Devices Act
HRES 893,"Supporting the observation of National Trafficking and Modern Slavery Prevention Month during the period beginning on January 1, 2022, and ending on February 1, 2022, to raise awareness of, and opposition to, human trafficking and modern slavery."
HR 9623,"To improve the anti-corruption and public integrity laws, and for other purposes."
HRES 901,"Expressing the sense of the House of Representatives that BridgeUSA exchange programs are vital to the economy and national interests of the United States, and that Congress should prioritize robust support to ensure equitable opportunities for Americans and people from other countries."
HR 9629,To amend the Internal Revenue Code of 1986 to impose a tax on employers whose employees receive certain Federal benefits.
S 5302,"A bill to amend the Internal Revenue Code of 1986 to increase the limitations on contributions to health savings accounts, and for other purposes."
S 4573,Electoral Count Reform and Presidential Transition Improvement Act of 2022
HR 7866,Giving Disadvantaged Businesses Opportunities for Success Act
S 4052,Early Hearing Detection and Intervention Act of 2022
S 5311,"A bill to reform the resources available to the Internal Revenue Service, and for other purposes."
HR 8742,RETURN Act
HR 8738,REDUCE Act
HR 6592,Immigration Transparency and Transit Notification Act of 2022
HR 7299,SVAC Act of 2022
HR 5794,"To designate the facility of the United States Postal Service located at 850 Walnut Street in McKeesport, Pennsylvania, as the First Sergeant Leonard A. Funk, Jr. Post Office Building."
HR 9619,"To establish a pilot program for native plant species, and for other purposes."
HR 2375,Improving Adoption Outcomes and Affordability Act of 2021
S 3417,Latonya Reeves Freedom Act of 2021
HR 5481,"To name the Department of Veterans Affairs community-based outpatient clinic in Forest City,   North Carolina, as the ""Master Sergeant Jerry K. Crump VA Clinic""."
HR 8813,AFFECT Human Rights in Venezuela Act
HR 5797,SERVE Our Communities Act
HR 9625,"To amend title 49, United States Code, to establish an Aviation Security Checkpoint Technology Fund in the Department of Homeland Security to fund investments in aviation security checkpoint technology, and for other purposes."
S 5321,"A bill to preserve Indian Tribes' and Native Hawaiian organizations' autonomy of access to spectrum over Tribal lands and expedite immediate deployment of telecommunications services for critical government services, including national emergencies, natural disasters, public health and bio-hazard threats, safety, education, opportunity to participate in the broadband economy, self-governance, access to Federal, State, and Tribal voting and elections, and the Federal census count, for the protection of life and property in furtherance of the Federal trust responsibility, and for other purposes."
S 5319,A bill to establish procedures for the removal of the Architect of the Capitol.
HR 6469,Refund the Police Act of 2022
S 3631,Bipartisan Ban on Congressional Stock Ownership Act of 2022
S 2804,Early Participation in Regulations Act of 2021
HR 1067,Standard FEES Act
HR 8068,Tribal Energy Investment Act of 2022
S 2205,"A bill to designate the United States courthouse located at 201 South Evans Street in Greenville, North Carolina, as the ""Malcolm J. Howard United States Courthouse"", and for other purposes."
HR 5946,Valor Earned Not Stolen Act of 2021
HR 6480,Human Trafficking Awareness Training Act
HR 6234,FIX Clemency Act
SRES 810,"A resolution designating the week of October 2, 2022, through October 8, 2022, as ""National Community Policing Week""."
S 5298,"A bill to provide the Under Secretary for Science and Technology of the Department of Homeland Security with the authority to temporarily extend the duration of protections provided under the SAFETY Act, and for other purposes."
HR 6222,Protecting Immigrants From Legal Exploitation Act of 2021
S 2491,Defense of United States Infrastructure Act of 2021
S 5322,"A bill to authorize the collection of supplemental payments to increase congressional investments in medical research, and for other purposes."
S 734,Jenna Quinn Law
S 5317,"A bill to promote democracy in Venezuela, and for other purposes."
HR 8730,Digital Commodities Consumer Protection Act of 2022
S 5299,"A bill to end the epidemic of gun violence and build safer communities by strengthening Federal firearms laws and supporting gun violence research, intervention, and prevention initiatives."
HR 622,Officer Brian D. Sicknick Congressional Gold Medal Act
HR 5702,Preventing the Loss of American Jobs due to Unjust Mandates Act
HR 170,ADVANCE Act
S 1614,Yes In My Backyard Act
HR 6610,Border Czar Accountability Act of 2022
HR 6484,STAND with Taiwan Act of 2022
HR 5853,Private Prison Information Act of 2021
HRES 909,Expressing support for healthcare personnel and condemning assaults on healthcare personnel as the U.S. healthcare system faces unprecedented staffing shortages and increased workplace-related stressors.
S 5300,"A bill to provide greater transparency with respect to the financial regulatory agencies, and for other purposes."
HR 6370,"Safe Guns, Safe Kids Act"
HR 1632,"To prohibit the transfer or release of individuals detained at United States Naval Station, Guantanamo Bay, Cuba, to the United States."
HR 9614,"To amend the Hawaiian Homes Commission Act, 1920, to reduce the minimum blood quantum for successor lessees and applicants on the Application Waiting List, and for other purposes."
HR 6439,Fentanyl Trafficker Elimination Act
S 667,Fuel Choice and Deregulation Act of 2021
S 5323,"A bill amend title VI of the Social Security Act to allow States and local governments to use coronavirus relief funds provided under the American Rescue Plan Act for infrastructure projects, improve the Local Assistance and Tribal Consistency Fund, provide Tribal governments with more time to use Coronavirus Relief Fund payments, and for other purposes."
HR 9615,"To prohibit certain discrimination against athletes on the basis of sex by intercollegiate athletic associations, and for other purposes."
S 2411,Stop COVID–19 Test Surprise Medical Bills Act of 2021
HRES 854,Calling on Congress to condemn voter suppression laws enacted by States and political subdivisions.
S 1635,Temporary Family Visitation Act
S 2993,CISA Cyber Exercise Act
HR 7644,Pride in Mental Health Act
HR 6367,Guaranteeing Ukrainian Autonomy by Reinforcing its Defense (GUARD) Act of 2022
HR 9621,"To amend title 18, United States Code, to provide that robbery of armored cars constitutes bank robbery, and for other purposes."
HRES 1205,Recognizing Russian actions in Ukraine as a genocide.
HR 9474,WISE Act of 2022
HR 9626,"To require an independent report on Department of Defense practices for distinguishing between combatants and civilians in United States military operations, and for other purposes."
HJRES 66,Proposing an amendment to the Constitution of the United States to limit the number of terms that a Member of Congress may serve.
HR 6569,PLACE Act
HR 6266,AMICUS Act
HR 5744,Customer Non-Discrimination Act
HR 7519,"To designate the facility of the United States Postal Service located at 2050 South Boulevard in Bloomfield Township, Michigan, as the ""Dr. Ezra S. Parke Post Office Building""."
S 5325,"A bill to amend the Public Health Service Act to direct the Secretary of Health and Human Services to develop best practices for the establishment and use of behavioral intervention teams at schools, and for other purposes."
S 5293,"A bill to provide for the designation of areas as Health Enterprise Zones to reduce health disparities and improve health outcomes in such areas, and for other purposes."
HR 5924,Keep STEM Talent Act of 2021
S 4104,Hualapai Tribe Water Rights Settlement Act of 2022
HR 9638,"To amend title XVIII of the Social Security Act to provide coverage of ALS-related services under the Medicare program for individuals diagnosed with amyotrophic lateral sclerosis, and for other purposes."
HR 6275,"To prohibit the use of Federal funds to administer a COVID-19 vaccine to officers and employees of the U.S. Border Patrol, U.S. Immigration and Customs Enforcement, or certain Department of the Interior officers and employees or require that such officers and employees receive such a vaccine as a condition of employment."
HR 2930,Safeguard Tribal Objects of Patrimony Act of 2021
HR 6706,ALIEN Act of 2022
HR 6295,For the relief of Maria Merida de Macario and Firelly Airlen Rios Cano.
HR 5887,Keep Food Local and Affordable Act of 2021
HR 7077,Empowering the U.S. Fire Administration Act
S 1136,Affordable Housing Credit Improvement Act of 2021
HR 5939,Small Business Reorganization Technical Corrections Act
HR 5977,States Reform Act
SRES 874,"A resolution expressing the sense of the Senate that the activities of transnational criminal organizations, including the use of illicit economies, illicit trade, and trade-based money laundering, pose a risk to the interests of the United States and allies and partners of the United States around the world."
HR 6375,COPS on the Beat Grant Program Reauthorization and Parity Act of 2022
HR 6686,STOP CCP Act
HR 5971,Guardians Aren’t Above Prosecution Act of 2021
HR 6319,Falun Gong Protection Act
HR 5882,SHELTER Act of 2021
HRES 770,Expressing support for the First Amendment to the Constitution and its bipartisan impact regarding the protection of free speech as well as academic freedoms for all students and faculty.
HR 9624,"To end the epidemic of gun violence and build safer communities by strengthening Federal firearms laws and supporting gun violence research, intervention, and prevention initiatives."
S 5304,A bill to prohibit the closure of postal facilities during the COVID-19 public health emergency.
S 5327,A bill to establish the National Task Force on the Response of the United States to the COVID-19 Pandemic.
S 3129,M.H. Dutch Salmon Greater Gila Wild and Scenic River Act
HR 5252,Connecting Students to Great Jobs Act
HR 6563,Protecting Federal Funds from Human Trafficking and Smuggling Act of 2022
S 5324,"A bill to amend the FAA Reauthorization Act of 2018 to extend the existing aviation workforce development programs and provide grants to develop aviation manufacturing and supplier workforce, and for other purposes."
HR 5722,Smarter Pretrial Detention for Drug Charges Act of 2021
HRES 865,"Raising awareness and encouraging the prevention of stalking by designating January 2022 as ""National Stalking Awareness Month""."
HR 6472,Courtroom Videoconferencing Act of 2022
HR 6239,Upholding the Law at Our Border Act
HR 5854,Illegal Immigrant Payoff Prohibition Act
HR 5375,To regulate tax return preparers and refund anticipation payment arrangements.
HR 6213,Fire Sale Loophole Closing Act
HR 2199,Federal Agency Sunset Commission Act of 2021
HR 5884,Child RESCUE Act
HR 6078,Immigrant Witness and Victim Protection Act of 2021
HR 2397,Protection from Cumulative Emissions and Underenforcement of Environmental Law Act of 2021
S 1512,CONNECT for Health Act of 2021
S 2818,Cruising for Alaska's Workforce Act
SRES 6,"A resolution to elect Patrick J. Leahy, a Senator from the State of Vermont, to be President pro tempore of the Senate of the United States."
HR 4421,Farm System Reform Act of 2021
HRES 55,"Recognizing the importance of access to comprehensive, high-quality, life-affirming medical care for women of all ages."
HR 6539,PANA Act
HRES 798,"Expressing the sense of the House of Representatives regarding the relationship between firearm violence and intimate partner violence and to honor the memory of Gladys Ricart and other victims of intimate partner homicide killed by firearms, and for other purposes."
HR 6079,Congressional Subpoena Compliance and Enforcement Act
SRES 858,"A resolution expressing support for the goals of National Adoption Day and National Adoption Month by promoting national awareness of adoption and the children awaiting families, celebrating children and families involved in adoption, and encouraging the people of the United States to secure safety, permanency, and well-being for all children."
HR 6237,No FARC Act
HR 6676,Protecting Parental Rights Act
HR 1332,Telehealth Modernization Act
HRES 906,"Recognizing the importance of establishing a national ""Fred Korematsu Day of Civil Liberties and the Constitution""."
HR 9618,"To amend the Infrastructure Investment and Jobs Act to make certain activities eligible for grants from the Abandoned Mine Reclamation Fund, and for other purposes."
HR 5271,"To designate the facility of the United States Postal Service located at 2245 Rosa L Parks Boulevard in Nashville, Tennessee, as the ""Thelma Harper Post Office Building""."
HR 7590,Economic Development Promotion and Resiliency Act
HR 6670,Schedules That Work Act
S 5318,"A bill to support the creation and implementation of State policies, as well as the expansion of existing State policies, for improving the quality and affordability of charter school facilities."
S 3386,End Tuberculosis Now Act of 2022
HR 2021,Environmental Justice For All Act
SRES 872,"A resolution recognizing Interscholastic Athletic Administrators' Day on December 14, 2022."
S 3519,Butterfield Overland National Historic Trail Designation Act
HR 3095,Fair and Open Skies Act
HR 6621,No Taxpayer Funds for Illegal Immigrants Act
HR 6188,Colorado Judgeship Act
HR 4622,"To designate the facility of the United States Postal Service located at 226 North Main Street in Roseville, Ohio, as the Ronald E. Rosser Post Office."
HR 9616,"To protect children against sexual abuse and exploitation, and for other purposes."
S 1351,Safeguarding American Innovation Act
S 5301,"A bill to amend section 212(d)(5) of the Immigration and Nationality Act to reform immigration parole, and for others purposes."
HR 5895,Ending Payments to Non-American Citizens Act
S 1353,Advancing American AI Act
HR 1378,Do No Harm Act
S 2096,Canadian Snowbirds Act
HR 5759,BE GONE Act
HR 1956,Increasing Access to Quality Cardiac Rehabilitation Care Act of 2021
HR 9622,"To ensure that within a State, an action of a State agency taken pursuant to State law shall have effect notwithstanding any Federal law to the contrary, and for other purposes."
HR 5874,Restoring America’s Leadership in Innovation Act of 2021
HR 6486,Transparency in Government Officials Trading Act
HR 8535,Shirley Chisholm Congressional Gold Medal Act
HR 2252,Emmett Till and Mamie Till-Mobley Congressional Gold Medal Act of 2021
HR 6422,Putin Accountability Act
HR 6575,Protecting Americans from Gun Violence Act of 2022
S 4978,State Offices of Rural Health Program Reauthorization Act of 2022
HR 9630,"To amend the Immigration and Nationality Act to expand availability of H-1B nonimmgrant visas, and for other purposes."
S 5320,A bill to suspend the collection of income taxes and related interest and penalties from United States nationals who are unlawfully or wrongfully detained abroad and to reimburse such nationals for any penalties paid during such a detention.
HR 2472,"To designate the facility of the United States Postal Service located at 82422 Cadiz Jewett Road in Cadiz, Ohio, as the John Armor Bingham Post Office."
HR 9632,"To reauthorize the Project Safe Neighborhoods Grant Program Authorization Act of 2018, and for other purposes."
HR 7925,"To designate the Department of Veterans Affairs community-based outpatient clinic located in Palm Desert, California, as the ""Sy Kaplan VA Clinic""."
HR 6117,PrEP Access and Coverage Act
HRES 866,Recognizing that allowing illegal immigrants the right to vote devalues the franchise and diminishes the voting power of United States citizens.
HR 6577,"Real Courts, Rule of Law Act of 2022"
HR 6402,"To grant a Federal charter to the National American Indian Veterans, Incorporated."
HRES 787,"Recognizing the service of all District of Columbia veterans, condemning the denial of voting representation in Congress and full local self-government for veterans and their families who are District of Columbia residents, and calling for statehood for the District of Columbia through the enactment of the Washington, D.C. Admission Act (H.R. 51 and S. 51), particularly in light of the service of District of Columbia veterans in every American war."
HR 6243,No More Free Ride Act
HRES 149,Calling on President Biden to immediately implement his radical climate agenda at the White House by prohibiting use of petroleum-based products and energy sources.
S 2047,No PFAS in Cosmetics Act
HR 6264,POLICE Act of 2021
HR 6001,Closing the Warrantless Digital Car Search Loophole Act of 2021
HR 6184,HALT Fentanyl Act
HR 6561,Firearm Lockbox Protection Act of 2022
HRES 765,Rejecting any proposal or legislation to financially compensate individuals crossing our borders illegally.
HR 6296,"Family Notification of Death, Injury, or Illness in Custody Act of 2021"
HR 5717,Stop the SURGE Act
HR 263,Big Cat Public Safety Act
S 5306,A bill to amend the Tibetan Policy Act of 2002 to modify certain provisions of that Act.
S 3686,Anna Westin Legacy Act
S 4580,Lactation Spaces for Veteran Moms Act
HR 8226,"To designate the facility of the United States Postal Service located at 236 Concord Exchange North in South Saint Paul, Minnesota, as the ""Officer Leo Pavlak Post Office Building""."
S 1306,Make PPE in America Act
HR 6151,Highway Accident Fairness Act of 2021
HR 5700,9/11 Immigrant Worker Freedom Act
S 2801,SMART Act of 2022
S 5308,"A bill to amend the Workforce Innovation and Opportunity Act to award grants to States to develop, convene, expand, or implement industry or sector partnerships, and for other purposes."
HR 5788,SERVICE Act of 2021
S 2793,SMART Leasing Act
HR 9627,To extend the authority of the Secretary of Defense to make certain payments to redress injury and loss.
S 3662,Preventing PFAS Runoff at Airports Act
HR 9637,"To direct the Administrator of the Federal Aviation Administration to take certain actions to prohibit air carriers from reducing the size of passenger seats on aircraft, and for other purposes."
HR 5950,Improving Patient Access to Care and Treatment Act
HR 4594,Restoring Brand USA Act
HR 6107,Stop Corporate Capture Act
HR 6132,Public Safety Enhancement Act of 2021
S 5060,Paul D. Wellstone Building Act of 2022
HR 4693,Global Malnutrition Prevention and Treatment Act of 2021
S 5316,A bill to protect access to kratom.
S 5315,"A bill to improve the anti-corruption and public integrity laws, and for other purposes."
HRES 768,Condemning the Biden administration for incentivizing illegal immigration by compensating illegal migrants who cross the southern border illegally and for stopping construction on the southern border wall and failing to enforce Migrant Protection Protocols.
HR 6311,Comprehensive Addiction Resources Emergency Act of 2021
HR 9620,To support reparations for victims of human rights violations associated with projects financed by international financial institutions.
S 5310,A bill to ensure that mental and behavioral health education and training grants awarded under section 756(a)(4) of the Public Health Service Act may be used for training to increase skills and capacity to meet the needs of children and adolescents who have experienced trauma.
HR 5824,Mandating Responsibility Act
HRES 891,"Expressing the sense of the House of Representatives that the article of amendment (commonly known as the ""Equal Rights Amendment"") to the Constitution is valid."
S 3875,Community Disaster Resilience Zones Act of 2022
HR 5975,Prison Camera Reform Act of 2021
HR 9631,"To prohibit the disclosure of intimate digital depictions, and for other purposes."
HR 4870,Promoting Access to Diabetic Shoes Act
HR 6427,Red River National Wildlife Refuge Boundary Modification Act
HR 5969,Border Security is National Security Act of 2021
S 5326,"A bill to modify certain notice requirements, to study certain election requirements, to clarify certain election requirements, and for other purposes."
HR 7808,FORMULA Act
HR 6586,GENOCIDE GAMES Act
S 2959,Supplemental Impact Aid Flexibility Act
HR 6639,Protect Children Through Safe Gun Ownership Act
HRES 924,"Expressing support for designation of the month of February 2022 as ""National Teen Dating Violence Awareness and Prevention Month""."
HR 5650,"To designate the facility of the United States Postal Service located at 16605 East Avenue of the Fountains in Fountain Hills, Arizona, as the ""Dr. C.T. Wright Post Office Building""."
HRES 576,Recognizing Islam as one of the great religions of the world.
HR 6144,Removing Waste and Protecting Medicare Act
HCONRES 125,Establishing the Task Force on the Legislative Process.
SRES 869,A resolution commending and congratulating the Portland Thorns Football Club on winning the 2022 National Women's Soccer League championship.
S 4577,Clear and Concise Content Act of 2022
HR 6833,"Continuing Appropriations and Ukraine Supplemental Appropriations Act, 2023"
S 5303,"A bill to amend the Employee Retirement Income Security Act of 1974 to allow health marketplace pools to be deemed an employer under section 3(5) of such Act for purposes of offering a group health plan or group health insurance coverage, and for other purposes."
S 5305,A bill to prohibit drilling in the Arctic Ocean.
HR 700,"To designate the facility of the United States Postal Service located at 303 East Mississippi Avenue in Elwood, Illinois, as the ""Lawrence M. 'Larry' Walsh Sr. Post Office""."
HR 6218,"To designate the facility of the United States Postal Service located at 317 Blattner Drive in Avon, Minnesota, as the ""W.O.C. Kort Miller Plantenberg Post Office""."
HR 785,"For the relief of Maria Isabel Bueso Barrera, Alberto Bueso Mendoza, and Karla Maria Barrera De Bueso."
HR 5859,FARM Act of 2021
HR 5840,Muslim Brotherhood Terrorist Designation Act of 2021
HR 9639,To require the Secretary of Education to report default and other data for each program of study of certain institutions of higher education for which the Secretary annually reports cohort default data under the Higher Education Act of 1965.
HR 6182,PREACH Act
HRES 766,Recognizing law enforcement officers who have tragically passed away from the COVID-19 pandemic.
S 5239,NETWORKS Act
HR 6099,Recognizing the Unborn Act of 2021
HRES 814,Supporting the goals and principles of Transgender Day of Remembrance of memorializing the lives lost this year to antitransgender violence.
HR 6153,Common Sense Standards for Visa Applicants Act
S 491,York River Wild and Scenic River Act of 2021
HR 3223,CISA Cyber Exercise Act
HR 6327,Constitutional Accountability Act
HR 5800,Commission on Americans Living Abroad Act of 2021
HR 6722,"To designate the Department of Veterans Affairs community-based outpatient clinic in French Camp, California, as the ""Richard A. Pittman VA Clinic""."
HR 6248,Stand Your Ground Act of 2021
HR 1706,Emergency Homelessness Assistance Act of 2021
S 3302,21st Century Dyslexia Act
SRES 875,A resolution declaring racism a public health crisis.
HR 6403,Federal Prisons Accountability Act of 2022
HR 7011,Maternal and Child Health Stillbirth Prevention Act of 2022
HR 6730,Protecting Higher Education from the Chinese Communist Party Act of 2022
S 4667,Farmland Security Act of 2022
HR 5096,Afghan and Iraqi Allies Resettlement Improvement Act
HR 9475,TEACH Act of 2022
HR 5710,Preventing Vigilante Stalking that Stops Women’s Access to Healthcare and Abortion Rights Act of 2021
HR 6185,Bivens Act of 2021
SRES 800,A resolution celebrating the 100th anniversary of the Mississippi Farm Bureau Federation.
HR 6479,Put Trafficking Victims First Act of 2021
S 3185,"A bill to amend the Delaware Water Gap National Recreation Area Improvement Act to extend the exception to the closure of certain roads within the Recreation Area for local businesses, and for other purposes."
HR 5831,Protect Communities from a Porous Border Act of 2021
HR 9633,"To authorize Arizona Tribes to enter into lease or exchange agreements and storage agreements relating to their decreed water entitlements as a long-term source of water supply, and for other purposes."
S 5296,A bill to establish a student loan forgiveness plan for certain borrowers who are employed at a qualified farm or ranch.
S 3825,"A bill to designate the facility of the United States Postal Service located at 3903 Melear Drive in Arlington, Texas, as the ""Ron Wright Post Office Building""."
HR 9446,"To direct the Secretary of Energy to conduct a program of research, development, demonstration, and commercial application with respect to clean hydrogen and fuel cell energy, low-emission fuels, and coproducts, and for other purposes."
HRES 1379,"Of inquiry requesting the President and directing the Secretary of Veterans Affairs to transmit, respectively, certain documents to the House of Representatives relating to the wait times for veterans to receive primary care, mental health care, and specialty care appointments at medical centers of the Department of Veterans Affairs."
HJRES 87,Directing the removal of United States Armed Forces from hostilities in the Republic of Yemen that have not been authorized by Congress.
HR 9635,"To require rental companies to provide consumer protections in renting motor vehicles to consumers, and for other purposes."
HR 6492,Climate Resilience Workforce Act
S 3155,Jamal Khashoggi Human Rights Act
HRES 1515,"Expressing support for the draft United Nations General Assembly Resolution A/C.1/77/L.62 calling upon member states to commit not to conduct destructive direct-ascent anti-satellite missile tests, introduced by the United States at the 77th Session of the United Nations General Assembly."
HR 9617,"To amend the Delaware Water Gap National Recreation Area Improvement Act to extend the exception to the closure of certain roads within the Recreation Area for local businesses, and for other purposes."
HR 8754,Dismantling Investments in Violation of Ethical Standards through Trusts Act
HR 4738,COVID–19 American History Project Act
S 2104,Global Labor Support Act of 2021
S 889,Prescription Drug Monitoring Act of 2021
HR 5458,SEED Act of 2021
HR 1547,Youth Financial Learning Act
HR 5553,To prohibit the Secretary of Veterans Affairs from providing or paying for surgical treatment related to gender transition.
SRES 154,A resolution congratulating the people of the Hashemite Kingdom of Jordan on the centennial of the founding of the Jordanian state.
SRES 557,"A resolution recognizing the week of March 20 through March 26, 2022 as ""National Poison Prevention Week"" and encouraging communities across the United States to raise awareness of the dangers of poisoning and promote poison prevention."
HR 1190,To authorize the President to award the Medal of Honor to retired Colonel Philip J. Conran of the Air Force for acts of valor in Laos during the Vietnam War.
HR 4164,Charitable Conservation Easement Program Integrity Act of 2021
HR 1202,FASTER Act of 2021
SRES 33,A resolution supporting the contributions of Catholic schools.
S 2590,Directed Energy Threat Emergency Response Act
HR 4619,"To amend the Securities Exchange Act of 1934 to prohibit trading ahead by market makers, and for other purposes."
S 3643,Put Trafficking Victims First Act of 2022
HR 1688,Native American Child Protection Act
S 3645,PIPES Act
S 3648,SANE Act
HR 7877,Virginia Graeme Baker Pool and Spa Safety Reauthorization Act of 2022
SRES 649,A resolution congratulating the Northwest Missouri State University Bearcats men's basketball team on winning the 2022 Men's Division II National Collegiate Athletics Association National Championship.
HR 7838,Paycheck Protection Program Fairness for Engineering Services Act
HR 7839,Competition and Transparency in Digital Advertising Act
HR 7849,CLAW Act of 2022
HR 7844,Rural IRS Accountability Act
HR 5635,Intellectual Property Violators Accountability and Transparency Act
HR 7847,"Water Efficiency, Conservation, and Sustainability Act of 2022"
HCONRES 87,Honoring the life and legacy of Ulysses S. Grant in commemoration of his 200th Birthday.
SRES 509,"A resolution honoring Thomas Edward Patrick Brady, Jr., the 7-time Super Bowl champion who played for the New England Patriots for 20 incredible seasons, and briefly the Tampa Bay Buccaneers for 2 seasons, for a combined 22 seasons in the National Football League."
HR 3134,Combatting Racist Training in the Military Act of 2021
HR 813,"To designate the facility of the United States Postal Service located at 1050 Sunset Road Southwest in Albuquerque, New Mexico, as the Jose Hernandez Post Office Building."
HR 2775,VA Quality Health Care Accountability and Transparency Act
HR 1730,Speeding Therapy Access Today Act of 2021
S 4119,RECA Extension Act of 2022
HR 5646,State Justice Improvement Act
HR 3125,COVID-19 Emergency Medical Supplies Enhancement Act of 2021
S 4130,Patient Access to Higher Quality Health Care Act of 2022
S 4556,Respect for Marriage Act
S 4157,LEAD Act of 2022
HRES 175,Expressing the sense of the House of Representatives regarding United States arms transfers to Saudi Arabia.
HR 5115,"To ensure funding for the improvement of the Coast Guard Yard in Baltimore, Maryland."
HR 6615,Safer Heat Act of 2022
HR 1411,PPP Flexibility for Farmers and Ranchers Act
S 3571,Good Samaritan Remediation of Abandoned Hardrock Mines Act of 2022
S 3373,Sergeant First Class Heath Robinson Honoring our Promise to Address Comprehensive Toxics Act of 2022
HRES 1133,"Recognizing National Foster Care Month as an opportunity to raise awareness about the challenges of children in the foster care system and encouraging Congress to implement policy to improve the lives of children in, or at risk of entering, the foster care system."
HR 7852,Federal Employees Sustainable Investment Act
HR 7856,EEOC Transparency and Accountability Act
HR 7848,Protecting American Energy Act
HR 4301,Primary Care Enhancement Act of 2021
HR 3761,Promising Pathway Act
S 68,Regulations from the Executive in Need of Scrutiny Act of 2021
HR 7858,Digital Platform Commission Act of 2022
HR 288,Qualified Immunity Act of 2021
HR 7840,To make permanent the authority to reimburse members for spouse relicensing costs pursuant to a permanent change of station.
HR 7843,CARE Act
HR 8739,Hong Kong Business Integrity and Transparency Act
HR 7860,Financial Freedom Act of 2022
HR 7460,ONSHORE Manufacturing Act
HR 910,Veterans Healthcare Improvement Act
S 991,Corporate Tax Dodging Prevention Act
SRES 176,"A resolution urging all parties in Georgia to seek prompt implementation of the agreement signed on April 19, 2021, and reaffirming the support of the Senate for Georgia, the territorial integrity of Georgia, and the aspirations of Georgians to join the Euro-Atlantic community."
HJRES 8,Proposing an amendment to the Constitution of the United States to provide for balanced budgets for the Government.
HRES 1044,"Expressing support for the designation of April 10, 2022 as ""Venture Smith Freedom Day""."
HRES 1141,"Expressing support for the designation of the week of May 23 through 27, 2022, as ""Educator Mental Health Awareness Week""."
HR 8744,Military Bonus and Special Pay Increase Act of 2022
HR 1259,REMAIN in Mexico Act of 2021
HR 8746,Access to Inpatient Rehabilitation Therapy Act of 2022
HR 8745,National Concussion and Traumatic Brain Injury Clearinghouse Act of 2022
HR 8747,ARCH Act of 2022
HR 8748,Defund Davos Act
HCONRES 48,"Expressing the sense of Congress that August 30, 2021, be observed as the 131st anniversary of the 1890 Institutions."
HR 5284,Home Educators are Teachers Act of 2021
HR 67,Veteran Overmedication and Suicide Prevention Act of 2021
S 3516,Increase Access to COVID Testing Act
SRES 126,"A resolution condemning the crackdown by the Government of the People's Republic of China and the Chinese Communist Party in Hong Kong, including the arrests of pro-democracy activists and repeated violations of the obligations of that Government undertaken in the Sino-British Joint Declaration of 1984 and the Hong Kong Basic Law."
HR 6122,Protect American Taxpayer Dollars from Illegal Immigration Act
HRES 1111,"Expressing support for the enforcement of section 1507 of title 18, United States Code, with respect to protests outside of the homes of sitting Supreme Court Justices."
HR 7406,Supportive Services Enhancement Act
S 4011,Capping Drug Costs for Seniors Act of 2022
HR 8749,Protecting the Permian Basin Act of 2022
HR 1256,Francis G. Newlands Memorial Removal Act
S 4453,"A bill to designate the facility of the United States Postal Service located at 100 South 1st Street in Minneapolis, Minnesota, as the ""Martin Olav Sabo Post Office""."
S 3141,New Philadelphia National Historical Park Act
HR 4288,Workforce for an Expanding Economy Act
HR 7410,American Made Medicine Act
HR 309,Pipeline and Compressor Safety Verification Act of 2021
HR 6710,"To direct the Secretary of Health and Human Services, acting through the Commissioner of Food and Drugs, to submit to Congress a report on barriers, including regulatory inefficiencies, to domestic manufacturing of active pharmaceutical ingredients, finished drug products, and devices, and for other purposes."
HR 4954,PFAS Act
SRES 25,"A resolution designating the week of January 24 through January 30, 2021, as ""National School Choice Week""."
HR 1334,DISCLOSE Act of 2021
HR 8264,Backlog Justice Act of 2022
